3
48,50
-1.09071,1.00073,0.36809
-1.45733,0.584546,0.952892
-1.46964,0.739049,0.260663
-1.20776,0.670497,0.43534
-0.7533,0.679752,0.191188
-0.767632,0.658819,0.360442
-0.816872,0.829397,0.779364
-1.54845,0.699509,0.595111
-1.13194,1.48734,0.193087
-1.20558,1.27226,0.918379
-0.715668,0.772355,0.401056
-1.30804,0.905836,0.467548
-1.3156,1.02701,0.688544
-1.01539,1.41007,0.840988
-1.54051,1.24758,0.00268634
-1.30978,1.07076,0.143452
-0.909795,0.844699,0.454796
-1.09089,0.887063,0.636252
-1.45623,1.34594,0.605536
-1.2236,0.731177,0.359738
-1.26568,0.606322,0.61404
-0.825081,0.8891,0.00182306
-1.31799,1.16431,0.510781
-1.5899,0.739731,0.402794
-0.709371,0.790033,0.132319
-0.667142,1.07107,0.685025
-0.910367,0.964297,0.174913
-1.0578,0.972319,-0.177932
-0.57994,0.682479,0.0603197
-1.04861,0.543673,0.0199989
-1.35666,1.18239,0.304981
-1.05619,1.3825,0.501346
-0.74329,0.818609,0.2456
-0.687398,0.738484,0.451857
-0.543461,0.656875,-0.247279
-0.829195,0.995507,0.644726
-0.996962,1.42939,-0.133575
-1.1607,0.781961,0.374447
-1.01354,0.612387,0.592629
-0.628137,0.974143,0.672004
-1.28305,1.02785,0.390095
-0.652983,1.38202,0.308295
-0.82655,1.0491,0.662607
-1.25586,0.772068,-0.0632065
-0.478919,0.638974,0.129371
-1.40111,1.22015,0.660581
-0.4313,0.633551,0.625673
-1.23979,0.88322,-0.0566631
-0.540255,1.28004,0.0914271
-0.622539,1.06227,0.601273
-0.625448,1.18959,0.164821
-0.910267,0.946973,0.0825462
-1.27689,0.53079,0.667348
-1.28919,0.685294,-0.0248807
-1.02731,0.616741,0.149796
-0.572854,0.625996,-0.0943553
-0.587186,0.605063,0.0748983
-0.636427,0.775642,0.493821
-1.368,0.645753,0.309567
-0.951489,1.43358,-0.0924563
-1.02513,1.2185,0.632836
-0.535222,0.718599,0.115512
-1.12759,0.852081,0.182005
-1.13515,0.973255,0.403001
-0.834948,1.35631,0.555444
-1.36007,1.19382,-0.282857
-1.12933,1.017,-0.142091
-0.729349,0.790943,0.169253
-0.910441,0.833307,0.350709
-1.27579,1.29218,0.319992
-1.04316,0.677421,0.0741944
-1.08523,0.552566,0.328496
-0.644636,0.835344,-0.28372
-1.13754,1.11056,0.225237
-1.40946,0.685975,0.11725
-0.528926,0.736277,-0.153224
-0.486696,1.01731,0.399481
-0.629489,0.77012,-0.0739882
-0.776917,0.778142,-0.426833
-0.299062,0.488302,-0.188582
-0.767733,0.349496,-0.228903
-1.07579,0.988211,0.05608
-0.775312,1.18832,0.252444
-0.462412,0.624432,-0.00330105
-0.40652,0.544307,0.202956
-0.262583,0.462698,-0.496181
-0.548317,0.80133,0.395824
-0.716084,1.23521,-0.382477
-0.87982,0.587784,0.125545
-0.732665,0.41821,0.343727
-0.347259,0.779966,0.423103
-1.00217,0.833669,0.141193
-0.372105,1.18785,0.0593931
-0.545672,0.854922,0.413705
-0.974985,0.577891,-0.312108
-0.198041,0.444797,-0.119531
-1.12023,1.02597,0.41168
-0.150421,0.439374,0.376772
-0.95891,0.689043,-0.305565
-0.259377,1.08587,-0.157474
-0.341661,0.868097,0.352371
-0.34457,0.995412,-0.0840804
-0.629389,0.752796,-0.166355
-0.996007,0.336613,0.418447
-1.00831,0.491116,-0.273782
